image_name,prompt,source
building_0.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, wearing cyan miniskirt and gray converse boots, art by nobutake ito, toru hishiyama, clamp, madhouse, directed by tatsuo sato, stylish, intense, intricate, whimsical ",diffusiondb/stable-diffusion
building_1.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, wearing cyan miniskirt and gray converse boots, art by nobutake ito, toru hishiyama, clamp, madhouse, directed by tatsuo sato, stylish, intense, intricate, whimsical ",diffusiondb/stable-diffusion
building_2.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, wearing cyan miniskirt and gray converse boots, art by nobutake ito, toru hishiyama, clamp, madhouse, directed by tatsuo sato, stylish, intense, intricate, highly detailed, whimsical ",diffusiondb/stable-diffusion
building_3.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, wearing cyan miniskirt and gray converse boots, art by nobutake ito, toru hishiyama, clamp, madhouse, directed by tatsuo sato, stylish, intense, intricate, highly detailed, whimsical ",diffusiondb/stable-diffusion
building_4.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, wearing cyan miniskirt and gray converse boots, art by nobutake ito, toru hishiyama, takehiko inoue, inio asano, clamp, madhouse, directed by tatsuo sato, stylish, intense,",diffusiondb/stable-diffusion
building_5.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, cyan miniskirt, gray converse boots, art by nobutake ito, toru hishiyama, takehiko inoue, inio asano, clamp, madhouse, directed by tatsuo sato, stylish, intricate, whimsical",diffusiondb/stable-diffusion
building_6.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, wearing cyan miniskirt, wearing gray converse boots, art by nobutake ito, tatsuo sato, toru hishiyama, takehiko inoue, inio asano, clamp, madhouse, stylish, intricate, whimsical",diffusiondb/stable-diffusion
building_7.png,a beautiful young man has colorful tattoos on his arms. the tattoo ink glows in the dark. beautiful. dark room. ,diffusiondb/stable-diffusion
building_8.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, wearing cyan miniskirt, wearing gray converse boots, art by nobutake ito, tatsuo sato, toru hishiyama, takehiko inoue, clamp, madhouse, stylish, intricate, whimsical ",diffusiondb/stable-diffusion
building_9.png,photo of a lego man building a car out of human pieces ,diffusiondb/stable-diffusion
building_10.png,"8 year old girl with light brown hair standing on stairs, she is drinking from a blue sports bottle with a straw, she is wearing a navy blue jacket over a white tshirt, she is wearing a cyan miniskirt and converse light gray boots, art by hayao miyazaki, masashi ando, hideaki anno, anime style, madhouse, whimsical ",diffusiondb/stable-diffusion
building_11.png,"kodak portra 4 0 0, wetplate, muted colours, blueberry, 1 9 2 0 s style, long shot, macro photo of a room with concrete walls and a square square picture frame, tiny gaussian blur, depth of field, 1 9 6 0 s metal furniture, ",diffusiondb/stable-diffusion
building_12.png,"decollage painting old man struggle in a room of old palace by adrian ghenie and takato yamamoto and edward hopper and mark ryden and tsutomu nihei, part by bridget riley, acrylic pour and splashing paint, very coherent, baroque elements, perfect anatomy, intricate design. pop art. ",diffusiondb/stable-diffusion
building_13.png,"a water - filled cavern with dim blue lighting, people made out of clay and plastic, 3 d, interior room, goro fujita, obsidian statues, scene from the godfather, miles johnston, cynical realism, lucian freud, monet, bruce bickford masterpiece, triadic color scheme, ruan jia ",diffusiondb/stable-diffusion
building_14.png,"scifi architecture, city, sustainable, ecology, green, parametric, brutal, concrete, people, sea, water, cinematic, realistic, octane render. - n 4 ",diffusiondb/stable-diffusion
building_15.png,"people made out of clay and plastic, 3 d, interior room, goro fujita, obsidian statues, scene from the godfather, miles johnston, cynical realism, lucian freud, monet, bruce bickford masterpiece, triadic color scheme, ruan jia ",diffusiondb/stable-diffusion
building_16.png,"kodak portra 4 0 0, flashlight, muted colours, 1 9 2 0 s style, long shot, vivid photo of a room with concrete walls and a large large square square picture frame, tiny gaussian blur, haze, depth of field, 1 9 6 0 s metal furniture ",diffusiondb/stable-diffusion
building_17.png,"the modern munster cathedral in basel, by santiago calatrava, outside with trees and the rhine, great architecture, ambient light ",diffusiondb/stable-diffusion
building_18.png,"the modern munster cathedral in basel, by santiago calatrava, outside with trees and the rhine, great architecture, beautiful ambient light, architecture magazine, perfect composition ",diffusiondb/stable-diffusion
building_19.png,"the modern munster cathedral in basel, by santiago calatrava, outside with trees and the rhine, great architecture, beautiful ambient light, sun, fog, architecture magazine, perfect composition ",diffusiondb/stable-diffusion
building_20.png,"kodak portra 4 0 0, flashlight, muted colours, 1 9 2 0 s style, long shot, a large large square square picture frame near by a window, vivid photo of a room with concrete walls, tiny gaussian blur, haze, depth of field, 1 9 6 0 s bauhaus style scandinavian metal furniture ",diffusiondb/stable-diffusion
building_21.png,"5 5 mm macro photo of a giant amanita muscaria mushroom snail, in a magical forest. dof. bokeh. by artgerm and luis royo. highly detailed 8 k. intricate. lifelike. realistic sony a 7 r iv. soft light. cinematic processing ",diffusiondb/stable-diffusion
building_22.png,"overwatch favela facades, in watercolor gouache detailed paintings, front view, photoscans, exterior, architecture, flat, uv, insanely detailed, artstation ",diffusiondb/stable-diffusion
building_23.png,"front view overwatch favela facades, cyberpunk, in watercolor gouache detailed paintings, futuristic, props, textural, exterior, architecture, insanely detailed ",diffusiondb/stable-diffusion
building_24.png,"only with red, a red faceless king portrait, in a red throne room, a red majestic kingdom but decadent, many skeletons, in the style of beksinski, parts by edward hopper, parts by wes anderson, parts by yue minjun, intricate composition by beeple, red by caravaggio, highly quality, highly detailed, masterpiece, red light, artstation, 4",diffusiondb/stable-diffusion
building_25.png,"photo of a big magic mushroom in a dark forest glade, purple blue night sky, glowing cosmic dust, magic fog, stars ",diffusiondb/stable-diffusion
building_26.png,"airship interior with seats and a dinner table, french baroque, napoleonic, dieselpunk science fiction, steampunk, sharp, concept art watercolor illustration by mandy jurgens and alphonse mucha, dynamic lighting ",diffusiondb/stable-diffusion
building_27.png,"airship interior bridge of warship, captain and bridge crew, french baroque, napoleonic, dieselpunk science fiction, steampunk, sharp, concept art watercolor illustration by mandy jurgens and alphonse mucha, dynamic lighting ",diffusiondb/stable-diffusion
building_28.png,"airship interior bridge of warship, captain and bridge crew, french baroque, napoleonic, dieselpunk science fiction, steampunk, sharp, concept art watercolor illustration by mandy jurgens and alphonse mucha, dynamic lighting ",diffusiondb/stable-diffusion
